0, 0, KYOSHA, Lower
1, 0, KEIMA, Lower
2, 0, GIN, Lower
3, 0, KIN, Lower
4, 0, GYOKU, Lower
5, 0, KIN, Lower
6, 0, GIN, Lower
7, 0, KEIMA, Lower
8, 0, KYOSHA, Lower
1, 1, KAKU, Lower
7, 1, HISHA, Lower
0, 2, FU, Lower
1, 2, FU, Lower
2, 2, FU, Lower
3, 2, FU, Lower
4, 2, FU, Lower
5, 2, FU, Lower
6, 2, FU, Lower
7, 2, FU, Lower
8, 2, FU, Lower
0, 6, FU, Upper
1, 6, FU, Upper
2, 6, FU, Upper
3, 6, FU, Upper
4, 6, FU, Upper
5, 6, FU, Upper
6, 6, FU, Upper
7, 6, FU, Upper
8, 6, FU, Upper
1, 7, HISHA, Upper
7, 7, KAKU, Upper
0, 8, KYOSHA, Upper
1, 8, KEIMA, Upper
2, 8, GIN, Upper
3, 8, KIN, Upper
4, 8, OU, Upper
5, 8, KIN, Upper
6, 8, GIN, Upper
7, 8, KEIMA, Upper
8, 8, KYOSHA, Upper
